rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,family_role,blocking_number_str,soc_sec_id_str
rec-50699-dup-2,rec-65553-org,swe,"",34,"","",stephanie,silander,sa,west croydon,"",128,mount vernon drive,"",617 78152866,NoRole,9.0,8631233.0
rec-4268-dup-0,rec-26458-org,eng,f,"",19641022,mr,tanyshah,nexd,vic,dunnstown,4570,7,breona place,"",618 41552894,NoRole,2.0,9942833.0
rec-16809-dup-1,rec-51122-org,unk,f,26,19971211,"",jasmine,"",naw,bonshaw,6190,41,beaumont close,"",612 27180294,NoRole,5.0,8460525.0
rec-33135-dup-1,rec-16413-org,usa,g,33,"","",rhyx,jimenez,jsw,moun t hutton,5203,47,hannan crescent,"",02 98489632,NoRole,9.0,4440476.0
rec-83073-dup-0,rec-82638-org,dut,f,34,19900119,"",erin,vandesanden,wa,kaloprup,5087,22,french street,"",8 02272875,NoRole,3.0,3964554.0
rec-17296-dup-0,rec-33644-org,chi,c,32,19921011,"",koula,yao,"",clovelly,6062,34,mcmillan crescent,"",04 47497123,NoRole,6.0,4756210.0
rec-51127-dup-1,rec-48777-org,abo,"",28,19951207,"",ky,"",nsw,richmond,4017,40,"","",612 30863313,NoRole,0.0,6597425.0
rec-47361-dup-0,rec-20152-org,usa,"",20,20030704,"",emiily,mcintyre,nsw,batlow,2847,96,sheaffe street,"",2 52773503,NoRole,6.0,1795611.0
rec-22944-dup-0,rec-36348-org,chi,f,10,20130813,dr,annabelke,liao,nsw,erogia,2053,8,gadali crescent,"",02 72626415,NoRole,1.0,9229593.0
rec-62942-dup-1,rec-46969-org,ger,f,23,20001010,"",mackenzie,herbr,vic,kyanbram,2088,34,copland drive,"",618 56103137,NoRole,0.0,3519138.0
rec-99521-dup-0,rec-89314-org,unk,"",28,19851113,"",aaternir,keira,"",gordonvale,2681,1,van pelt place,"",04 29424632,NoRole,1.0,5228360.0
rec-97196-dup-0,rec-15881-org,usa,f,36,19870129,ms,benjamin,houghyon,sa,"",4017,2,rowntree crescent,"",7 90789050,NoRole,0.0,3416457.0
rec-94934-dup-1,rec-34654-org,afg,"",37,"","","",alakozai,vic,ndwa,4670,20,goodwin street,"",8 22111325,NoRole,5.0,8949160.0
rec-27844-dup-0,rec-94793-org,cze,"","",19430506,"",ethan,jascenscak,vic,rubicon,2486,"",blackwell circuit,rosetta village,02 99924014,NoRole,3.0,1524712.0
rec-94282-dup-0,rec-9679-org,chi,f,"",19541214,"",amelia,to,vic,cowes,2617,284,birdwood street,"",08 23651755,NoRole,1.0,6830887.0
rec-2676-dup-0,rec-76181-org,unk,m,23,20000907,"",oliver,aarcy,wa,kiru,6167,45,harkness street,"",08 54595672,NoRole,0.0,7596462.0
rec-64663-dup-0,rec-79226-org,chi,f,21,20020429,"",emiily,chi,vuc,allesree,6233,93,de little circuit,1st hse past (rhs),8 09445812,NoRole,9.0,6680411.0
rec-26331-dup-1,rec-88753-org,unk,"","",19120423,"",maddison,sckel,wa,mundingburra,2100,567,stopford crescent,"",618 26052150,NoRole,3.0,4629086.0
rec-63491-dup-1,rec-38432-org,ira,m,"","","",jack,razi,vic,whitlatnds,2261,42,"",fairholme,08 76754334,NoRole,7.0,4434421.0
rec-54248-dup-2,rec-5407-org,"","",28,19950629,ms,edsafd,clarf,nsw,regentville,2195,3,brinsmead street,"",2 13138050,NoRole,1.0,5591082.0
rec-72849-dup-4,rec-40531-org,ser,"",30,19930522,"",kayla,lakovic,nsw,murray bridge,1329,10,chevalley loop,"",2 00678906,NoRole,7.0,7026090.0
rec-81112-dup-1,rec-65764-org,usa,"",31,19921210,"",shaun,glass,nsw,whalan,4109,55,werriwa crescent,"",03 40165712,NoRole,1.0,6192971.0
rec-77445-dup-0,rec-80603-org,dut,f,"",19181011,"",giorgia,"",vic,ben amrz,4558,66,verbrugghen street,"",08 97852880,NoRole,9.0,6506537.0
rec-66212-dup-0,rec-68859-org,eng,f,28,19950730,"",patrick,tash,nsw,borenhjore,3083,9,degraves crescent,"",2 32370800,NoRole,2.0,3646435.0
rec-28229-dup-0,rec-31275-org,afg,"",31,19920112,"",caivlin,matozi,vic,childers,6258,48,southwell street,"",8 69966775,NoRole,1.0,3405732.0
rec-32409-dup-0,rec-12804-org,ina,f,28,19950822,"",harrison,hartono,wa,daadenning creek,2220,559,ironsidedlfeet,"",8 46894170,NoRole,3.0,9638060.0
rec-88634-dup-1,rec-83235-org,eng,f,27,19960105,"",emiily,normandon,"",gwynneviflle,3028,5,glenorchy street,"",08 79207295,NoRole,3.0,6128001.0
rec-48114-dup-0,rec-36909-org,"","",15,20080806,"","",ivers,wa,bindoon training area,2035,30,currong street,"",08 81410399,NoRole,6.0,5055716.0
rec-41854-dup-0,rec-54075-org,unk,"",31,19920323,"",annalode,abadi,vic,rosedale,4401,51,sutton place,"","",NoRole,7.0,9440749.0
rec-70782-dup-1,rec-58279-org,unk,f,35,19881226,dr,alecwmra,scinto,vic,mount moriac,7250,9,jaeger circuit,parry house,618 54670958,NoRole,1.0,2406475.0
rec-54540-dup-1,rec-4810-org,vie,f,28,"",dr,laurs,tru,"",torquay,2249,10,partridge street,"","",NoRole,1.0,9198164.0
rec-26088-dup-2,rec-52165-org,ina,d,10,"","",caleb,halim,qld,rangebre,3453,399,westgarth street,"",3 22294593,NoRole,4.0,5017428.0
rec-35479-dup-0,rec-45078-org,chi,f,31,19920415,"",katie,fouh,nsw,"",2340,22,macrossanvwescent,"",612 27386540,NoRole,8.0,2325145.0
rec-42547-dup-0,rec-51457-org,eng,"","",19770204,"",jemma,sempers,nsw,muttama,2093,2,canberra avenue,"",612 74130296,NoRole,7.0,4530336.0
rec-46534-dup-2,rec-65416-org,chi,m,30,"","",ajay,hu,nsw,tatyta,6518,1,beauchampxstreet,"",02 42099557,NoRole,4.0,4093193.0
rec-50875-dup-0,rec-38761-org,chi,f,23,20001125,"",jeth,ngok,qld,mackenzie river,3500,37,mulvany place,"",03 86288025,NoRole,3.0,4927757.0
rec-70949-dup-1,rec-47427-org,chi,f,22,20010517,mr,jamilba,sito,vic,deakin unicfersity,4570,170,parkin street,falconhorst,08 62105675,NoRole,5.0,7613261.0
rec-89842-dup-0,rec-1946-org,eng,m,34,19890111,"",gabriella,badcoke,wa,belrose,6064,12,bundeela street,"",618 07144210,NoRole,6.0,8476670.0
rec-4499-dup-0,rec-63003-org,abo,f,32,"",pfc,kristen,ofanengaue,nsw,tingara heights,2646,"",tenison-woods circuit,"",02 91972278,NoRole,9.0,1702743.0
rec-15765-dup-1,rec-47840-org,usa,f,40,19830408,"",john-paul,atkinson,vic,sunbury,3500,18,devonport street,"","",NoRole,6.0,7648121.0
rec-46706-dup-1,rec-28740-org,usa,f,21,20020726,"",hannah,whure,qld,cardstone,4184,58,jenner court,"",03 87052971,NoRole,1.0,1650977.0
rec-95459-dup-1,rec-17430-org,usa,f,24,19990907,"",chevonne,wiggins,tas,campbell town,6244,382,davenport street,"",7 62728555,NoRole,3.0,5118098.0
rec-35068-dup-0,rec-65633-org,ger,f,31,19920713,"",georgia,mullenhoff,qld,emu park,3058,"",bainton crescent,"",03 05189408,NoRole,4.0,3962375.0
rec-98380-dup-0,rec-35816-org,chi,"",11,20120808,ms,josha,yuen,nsw,granvill,"",9619,stace place,lengora,612 35256139,NoRole,2.0,6817912.0
rec-72561-dup-2,rec-96596-org,hun,f,25,"",hon,abbey,berzevicny,vic,glen huntly,2311,5,feint street,southern cross,08 51096355,NoRole,9.0,6189675.0
rec-1438-dup-0,rec-99943-org,afg,"",30,19931118,ms,emiily,mandarh,qld,woololufty,3175,88,kambalda crescent,faringdon village,8 88002988,NoRole,5.0,3367812.0
rec-90215-dup-3,rec-94069-org,chi,"",39,19841118,mr,cryssal,temq,nsw,gwandalin,2075,63,"","",02 61547258,NoRole,4.0,7537564.0
rec-89748-dup-0,rec-44856-org,ind,m,27,19960523,"",lauren,rangarajan,wa,east victoria park,7009,02,cowper street,"",08 76447611,NoRole,7.0,4758135.0
rec-56648-dup-0,rec-79718-org,unk,"",14,20090603,"",alec,abah,nsw,murrnigo,2271,2,crossley close,"",2 63098055,NoRole,4.0,4981204.0
rec-81070-dup-0,rec-26761-org,usa,"","",20020508,mr,taylor-saige,gregory,sa,tweed heads south,2066,43,"","",7 74899112,NoRole,1.0,6604704.0
rec-26085-dup-1,rec-31902-org,hun,"",34,19910204,pfc,chloe,khuen,qld,eaglefield,6153,19,appel crescent,whyworry,07 56578764,NoRole,4.0,7158472.0
rec-24430-dup-0,rec-7427-org,iri,f,27,19960310,"",alicia,byrnes,nsw,"",4170,20,faunce crescent,"",612 86277946,NoRole,1.0,3546468.0
rec-3625-dup-0,rec-77274-org,ind,"","",19020220,mr,isabella,patacjli,vic,collins steet west,2540,187,slessorcrescent,"",08 17827188,NoRole,2.0,4582974.0
rec-79593-dup-0,rec-46558-org,ser,r,30,19931609,ms,melinda,soric,nsw,stokers siding,5607,109,le souef crescent,"",612 20759709,NoRole,1.0,1603210.0
rec-37974-dup-1,rec-65949-org,ind,f,30,19931126,"",bailey,narasimha,nsw,lower portland,2145,266,tanderra crescent,kandahar,2 58592584,NoRole,8.0,6806646.0
rec-90408-dup-0,rec-42816-org,pak,"",31,19982052,"",kelsy,tirmizi,nsw,eden hills,3201,13,bathurst place,glen eden,2 95966518,NoRole,4.0,8888832.0
rec-23815-dup-1,rec-98034-org,eng,g,31,19920705,"",lukas,gore,vic,long gully,4650,255,allawha flats,"",08 14035049,NoRole,2.0,4641180.0
rec-47649-dup-1,rec-61885-org,unk,"",27,19961211,"",aakre,corie,"",coorong,2079,78,eddy crescent,"",04 14464374,NoRole,3.0,5120459.0
rec-40873-dup-1,rec-51012-org,dan,"",31,"",mr,matisse,skovgaard,"",lakes entrance,2484,246,tenison-woosdcircuit,nunton,02 71336862,NoRole,8.0,5543027.0
rec-97069-dup-0,rec-91864-org,usa,"",33,19900122,ms,william,dickson,nsw,west haven,7004,9,gardindlystreet,"",2 92737070,NoRole,9.0,4436541.0
rec-50699-dup-0,rec-65553-org,swe,"",34,"","",stephanie,chandler,sa,west croydon,6101,1,mount vernon drive,"",617 78125866,NoRole,9.0,8631233.0
rec-87648-dup-2,rec-12768-org,eng,m,23,20000827,dr,taylah,hamb,wa,baudin,3058,26,loureiro street,"",8 56859344,NoRole,0.0,8447570.0
rec-3520-dup-0,rec-10972-org,ind,"","",19540427,"",jake,vadakke,qld,el arish,3378,198,simpson ycstreet,belvoir,3 27243487,NoRole,4.0,6342173.0
rec-54145-dup-0,rec-97621-org,eng,"",29,19940728,"",alexandra,ruthefrord,vic,leyburn,0801,1,osburn drive,upper flat,03 13342931,NoRole,7.0,9270558.0
rec-23492-dup-2,rec-60176-org_h-1,chi,f,35,19880615,ms,qingzhen,yep,wa,ush,3405,3,bannerstreet,glendower,0284080541,NoRole,4.0,8504077.0
rec-89642-dup-1,rec-28258-org,chi,"","",19520112,"",ella,chien,"",sherwood,5578,6,schlich street,"",08 23008488,NoRole,5.0,9840114.0
rec-79533-dup-0,rec-96404-org,eng,f,33,19900908,"",bradley,coke,"",scarness,3716,10,hinckley place,"",02 19051128,NoRole,2.0,9155053.0
rec-59516-dup-0,rec-50820-org,cze,"",25,19980724,"",hhgf,mankovich,nsq,port elliot,4520,32,challinor crescent,palmwood court,02 79504573,NoRole,0.0,4356196.0
rec-80144-dup-1,rec-90743-org,chi,f,"",19133111,"",isabqlla,dwaj,qld,hay point,3101,4101,mulder place,"","",NoRole,0.0,8935516.0
rec-2053-dup-1,rec-64962-org,usa,"",38,19850311,"",sophie,"",nsw,cudal,2032,20,jalanga crescent,"","",NoRole,1.0,6156210.0
rec-92886-dup-0,rec-49514-org,usa,d,29,19940824,"",jaok,hendricks,"",dyssrt,2607,354,monaro crescent,"",08 67800277,NoRole,4.0,9069806.0
rec-65578-dup-1,rec-58528-org,eng,f,29,19940306,"",joro,steed,nsw,waverley,2026,6,gorrie clpse,"",612 02481066,NoRole,7.0,7075159.0
rec-23945-dup-0,rec-61061-org,chi,"",30,19930827,"",jessica,gal,qld,kalmbar,4216,19,ebenezer street,"",613 64852429,NoRole,5.0,3604649.0
rec-83517-dup-2,rec-71252-org,eng,"",36,19870821,ms,oliver,wight,qld,semaphore park,5008,71,macintyoe place,"","",NoRole,7.0,5242707.0
rec-52003-dup-3,rec-49921-org,eng,f,28,19950613,mr,caitlin,taggate,qld,manunda,3175,25,wakelin crcuit,"",03 79330660,NoRole,6.0,4831622.0
rec-16234-dup-0,rec-2983-org,eng,m,33,19900118,"",cameron,kimball,sa,clarence park,2010,37,couniham gourt,tweed heritage car,617 73267528,NoRole,8.0,9754947.0
rec-76260-dup-2,rec-25880-org,eng,"","",19680323,"",emma,grey,nsw,narromine,3137,387,arthaldo court,"",02 14893081,NoRole,5.0,4736960.0
rec-77856-dup-0,rec-66996-org,fin,f,38,19850927,"",alexandra,haavikko,"",mystrton,2263,1,marungal avenue,"","",NoRole,2.0,5429756.0
rec-20179-dup-0,rec-29271-org,nor,"",28,19951031,"",mia,fjÆrestad,vic,skjye,6020,13,levine street,minnawarra farm,07 35887283,NoRole,1.0,5937947.0
rec-11450-dup-2,rec-78734-org,chi,f,35,19880820,"",caleb,auyong,vic,magpie,5064,75,warringklace,"",618 26167516,NoRole,4.0,3922492.0
rec-12225-dup-1,rec-72956-org,usa,"","",19860708,"",evah,short,wa,midbale,2292,1,macedon crescent,"",618 67044985,NoRole,6.0,5957583.0
rec-99571-dup-0,rec-3098-org,chi,b,11,20120405,ms,nicholas,doo,"",ascot,2038,50,kenyon circuit,"",08 35928208,NoRole,3.0,9177829.0
rec-54505-dup-1,rec-8709-org,rom,f,"",19791110,"",travis,cornea,sa,wanilla,2153,32,mawalan street,caravn park,617 01513076,NoRole,7.0,4505335.0
rec-23359-dup-0,rec-71821-org,eng,f,37,19860804,"",madison,nikki,nsw,gundillion,2200,2,alroy circuit,kilmore park,2 83275642,NoRole,2.0,2797580.0
rec-66184-dup-2,rec-18312-org,tur,f,40,19837041,"",cooper,tasilova,vic,murmungee,5136,100,gsell place,"",8 81859645,NoRole,5.0,3279250.0
rec-38432-dup-1,rec-86683-org,chi,f,30,19931031,pfc,georgia,sying,"",laceys creek,3371,28,molineaux place,oliwen,613 05535270,Org-Household,3.0,2616642.0
rec-39452-dup-1,rec-30178-org,usa,m,23,20000709,dr,lauren,dawson,nawd,wethrirl park,3199,34,jennings street,"",2 57863949,NoRole,4.0,9247541.0
rec-71814-dup-1,rec-80401-org,eng,m,12,20110212,"","",rigby,tas,cradle mountain,4036,8,"","",08 36367567,NoRole,3.0,1069756.0
rec-95497-dup-0,rec-86725-org,fre,f,26,19970905,ms,daniel,cabannes,no,mongogarie,2107,112,jarrah street,"",2 36516111,NoRole,6.0,2845685.0
rec-43671-dup-0,rec-99284-org,ind,"","",19911008,"",saara,neela,wa,boallia,2203,10,ringrosr crescent,"",618 02663158,NoRole,8.0,5593444.0
rec-72428-dup-2,rec-55994-org,sri,"",25,19980609,mr,nathan,vaas,"",broken hill,3073,16,mirrool street,"",03 35378554,NoRole,6.0,9485831.0
rec-11143-dup-0,rec-46644-org,ger,f,"",19730527,"",nicholas,brackmann,nsw,wondunna,3870,25,mcgee place,"",613 14306003,NoRole,2.0,2775943.0
rec-47155-dup-0,rec-96668-org,chi,f,"",19460101,"",zack,auyrung,nsw,glenosie,2913,15,paulcoe crpmescent,"",612 96001430,NoRole,8.0,3083690.0
rec-40659-dup-0,rec-65811-org,unk,f,23,20010702,"",alyssa,strainij,nsw,elongelong,4065,23,paul coe crescent,"",2 95508814,NoRole,6.0,4036284.0
rec-52843-dup-0,rec-42557-org,eng,f,29,"","",henry,"",vic,avenel,4069,30,"","",03 00039479,NoRole,7.0,4892861.0
rec-95105-dup-0,rec-62834-org,usa,"",25,19989219,ms,rachel,mikq,vic,coleraine,2035,22,haddon street,"",8 38330047,NoRole,9.0,8225182.0
rec-90371-dup-0,rec-63586-org,eng,f,33,19900401,"",mivhaei,snelling,nsw,palmerston,7140,850,novar street,"",612 32864003,NoRole,8.0,2525754.0
rec-50398-dup-3,rec-13074-org,eng,f,27,19962011,"",lalba,savege,vic,melville forest,3636,6,marika street,arena,08 35920254,NoRole,4.0,1870588.0
rec-42221-dup-3,rec-20093-org,chi,"","",19770319,"",madison,kot,nsw,captains flat,4032,35,hopkinastreet,"",02 09883369,NoRole,7.0,1493197.0
rec-99382-dup-0,rec-50669-org,ind,m,36,19870205,"",trey,sikznd,qld,hills vlwen,3166,2,jalanga crescent,van park,3 99760546,NoRole,7.0,1710173.0
rec-37420-dup-0,rec-85075-org,usa,"","",19510214,"",joshua,frye,vic,heidelberyg eights,6149,49,niblo place,"",8 33157537,NoRole,4.0,1107391.0
rec-33135-dup-2,rec-16413-org,usa,f,33,"","",rhys,jimenez,nsw,hutton mount,5203,47,hannan vcrescent,"",02 98489632,NoRole,9.0,4440476.0
rec-86495-dup-0,rec-88239-org,unk,m,21,20020519,"",amy,scofield,vic,picnic ooint,5067,5,goldnerkcircuit,"",08 85675882,NoRole,0.0,6511610.0
rec-40716-dup-0,rec-5680-org,ind,f,32,19910704,"",miranda,snehasis,"",vaucluse,6147,40,clive steeodtavenue,the meadows,04 21991967,NoRole,3.0,7292092.0
rec-97695-dup-0,rec-16325-org,eng,m,32,19910401,"",mitchell,quincy,nsw,burwood heights,3162,165,dampier crescent,"",2 02646223,NoRole,4.0,8046721.0
rec-97574-dup-1,rec-66681-org,unk,g,38,19850203,"",alana,strahn,sa,west richmond,3139,22,dugganaoreet,"",08 68166978,NoRole,0.0,2281981.0
rec-18971-dup-2,rec-58951-org,ger,f,31,19920422,"",brooke,singer,qld,lake monduran,5044,"",sheaffe street,old post office,04 20349394,NoRole,4.0,9448451.0
rec-79938-dup-1,rec-71579-org,unk,f,28,19951120,mr,harriet,scollard,vig,gascoyne river,3192,6,"","",04 74858113,NoRole,3.0,9685468.0
rec-62822-dup-0,rec-59542-org,ira,"","",19820814,"",nicholas,tabtabai,"",richardson,6105,21,fiveashglitreet,"",02 54099655,NoRole,9.0,8486808.0
rec-84637-dup-1,rec-52946-org,usa,"","",19150511,"",joshua,torres,nsw,warrimoo,2303,154,kerferd street,"",2 27058107,NoRole,6.0,4106949.0
rec-65419-dup-0,rec-39517-org,ind,"",28,19950723,"",jack,dhanani,usa,crafrw,2148,10,godfrey street,kendor,7 45004463,NoRole,0.0,6992077.0
rec-61485-dup-0,rec-52260-org,gre,"",24,19999526,"",fraser,ikonomidi,vic,st james,5299,52,barritt street,bowan beae,8 55702669,NoRole,8.0,6537348.0
rec-52342-dup-1,rec-67459-org,eng,"",31,19920617,"",alessandra,paterson,qld,mi,2121,31,crossley close,"","",NoRole,6.0,9803949.0
rec-63072-dup-0,rec-38750-org,unk,f,"","","",sak,stratou,vic,carine,3171,37,zamia place,homewood,8 26056200,NoRole,0.0,8067660.0
rec-75177-dup-2,rec-78479-org,chi,f,24,19991001,dr,abii,"",vic,old beach,6155,32,hallstrom circuit,"",08 06334351,NoRole,9.0,3521664.0
rec-41952-dup-0,rec-13103-org,unk,"",22,20011005,"",philip,stranger,nsw,dfnca,5155,331,douglaz place,granny flat road,2 83146706,NoRole,9.0,4622940.0
rec-33870-dup-1,rec-56536-org,usa,f,"",19971109,"",mikayoa,mejia,vic,kangaroo ground,2241,9,spofforth street,"","",NoRole,4.0,8712002.0
rec-24253-dup-0,rec-88274-org,chi,m,24,19991202,"",emma,chang,nsw,euston,4659,6,ross smith crescent,"",2 70686428,NoRole,1.0,2429585.0
rec-32767-dup-1,rec-95808-org,wel,f,37,19860319,dr,cadwalader,emiily,wa,nanjupp,6280,55,kalgoorlie jcrescent,"",08 88765315,NoRole,1.0,7285280.0
rec-92023-dup-1,rec-21440-org,eng,m,"",19207028,"",sascha,winchester,qld,caixs,3940,13,trickett street,"",08 66043074,NoRole,2.0,4867890.0
rec-73470-dup-0,rec-79358-org,usa,"","",19170318,"",jazpwr,macias,vic,port fairy,2453,2,jemalong street,"",08 73044443,NoRole,0.0,9271729.0
rec-47935-dup-0,rec-96739-org,ina,f,20,20031229,"",andrew,wijaya,qld,euramo,6230,37,wilkinsyatreet,"","",NoRole,2.0,9824150.0
rec-21714-dup-1,rec-33637-org,ind,f,30,19930702,ms,cameron,sitlani,vic,yackandandah,2333,18,may gibqafflose,"",08 59640268,NoRole,9.0,2841926.0
rec-65169-dup-1,rec-88502-org,ind,"",25,19980819,"",mitchell,tind,vic,kandos,4505,"",streetekins,"","",NoRole,6.0,7810696.0
rec-27265-dup-1,rec-95981-org,ind,"",25,19981114,"",aliza,matai,nsw,uralla,4810,133,bromley street,rsm 327,2 00729964,NoRole,2.0,6480420.0
rec-54145-dup-3,rec-97621-org,eng,"",29,19940728,"",rutherford,alexandra,qld,leyburn,0810,6,osburn drive,upper flat,03 13342931,NoRole,7.0,9270558.0
rec-50398-dup-1,rec-13074-org,eng,f,27,19961011,"",layla,savege,vic,melviloetforest,3636,4,marika street,arena,08 35920254,NoRole,4.0,1876088.0
rec-7611-dup-1,rec-83442-org,usa,f,33,19099819,"",sm,ramos,vic,belmont,6169,39,hall place,"",8 20637746,NoRole,6.0,1785444.0
rec-64305-dup-3,rec-65003-org,rom,f,29,19941015,mr,ella,gusa,nsw,north star,3841,4,chewings street,"",612 69061275,NoRole,1.0,5885953.0
rec-8987-dup-0,rec-61317-org,ind,f,25,19980905,"",caitlin,venkatraman,vic,prentice north,3128,38,westbury circuit,"",8 15402564,NoRole,1.0,9800867.0
rec-26426-dup-0,rec-61917-org,ind,f,30,19930127,"",kamp,thomas,nsw,noraville,2099,71,jacobs street,"",2 24600642,NoRole,9.0,8818311.0
rec-9030-dup-0,rec-79462-org,usa,f,33,19901031,"","",castro,vic,wychitlla,5109,15,mainwaring rich circuit,hawksview,618 75644466,NoRole,3.0,7295487.0
rec-47452-dup-2,rec-71303-org,ser,f,34,19900914,"",gus,opacic,nsw,angurugu,0805,4,dann close,lazy acres,03 00979615,NoRole,6.0,4139609.0
rec-94299-dup-1,rec-21821-org,dan,f,32,19911007,"",wilson,qvist,qld,beach kurrimine,4516,14,badcoe street,"",613 08742004,NoRole,2.0,7271866.0
rec-61492-dup-1,rec-9568-org,eng,f,30,19931202,mr,ebony,roydon,nsw,mossy kookint,2330,6,place body,"",2 37913509,NoRole,1.0,7697806.0
rec-26655-dup-3,rec-97241-org,unk,f,"",19991015,mr,sam,aarnoordse,qld,the percy group,2449,129,maddison close,berri cottage hmes,03 20127473,NoRole,0.0,7559288.0
rec-88650-dup-0,rec-47939-org,unk,"",31,19920307,"",ruby,"",qld,cunnamulla,6016,6,keys crescent,"",04 31788281,NoRole,9.0,2768477.0
rec-98113-dup-0,rec-327-org,usa,e,13,20100525,pfc,gabrielle,graham,qld,sandgate,7015,21,william hudson crescent,"",613 45725669,NoRole,5.0,1812267.0
rec-45634-dup-0,rec-55145-org,unk,"","",19240831,"",madison,strazzari,"",bethania,0870,5,hayletdsreet,"",02 22226808,NoRole,6.0,6930285.0
rec-30873-dup-0,rec-47997-org,swe,"",23,20041127,mr,toby,alexandersson,"",sale,0810,67,bullumbiw street,"",08 76605879,NoRole,0.0,7558782.0
rec-68015-dup-1,rec-79318-org,eng,m,"",19890109,"",sophie,hawarfpd,tas,pipers river,2250,335,alice jacksoncrescent,"",7 52190468,NoRole,0.0,4240837.0
rec-2900-dup-0,rec-36770-org,cze,f,29,19940110,hon,amy,durocdiazky,qld,mount pleasant,2422,32,mclorinan street,anderwood,3 93443997,NoRole,9.0,6368808.0
