given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,recid,uid
imogen,akroyd,8,everard street,strathalan community,marsfield,3219,qld,19361218,4817613,57
chloe,gillard,3,crispcir cuit,ban skia,kenilworth,4218,wa,19200820,8072668,58
joshua,garthwaite,24,mcclintock street,hallsville,avoca,3175,nsw,19050703,5226643,59
lachlan,jukic,2,morgan crescent,parklea,raymond terrace,2250,nsw,19780702,4027998,60
cononr,lutz,55,burkitt street,connoisseur quarterhorses,the basin,3166,vic,19970727,6308695,61
rosie,reid,256,coghill close,,blackown,5253,act,19770714,8349921,62
darcy,jolly,7,antill street,agarabi,godwin beach,4173,nsw,19891008,7208848,63
isabella,defrancesco,24,meyrick place,marx garden world,wellingotn point,2759,vic,19040819,8342399,64
jessica,noble,42,boolimba crescent,lashbrooke,cranbourne,2219,vic,,7984432,65
charlotte,robson,23,nicholas street,kellwood,,2280,vic,19620503,9419113,66
thomas,wijedasa,152,powers place,carney's arcade,bowen hills,6021,tas,19820415,8129413,67
zakariah,hoyland,82,rooth place,pindara medical centre,dianella,6164,qld,19900707,6754522,68
chloe,jayaraman,33,eungella street,victoria mill estate,broken hill,3172,nsw,19590818,4910207,69
alice,bellchambers,267,swanton street,tallow-wood,blacktown,3136,vic,19381230,8676818,70
joshua,rickett,1,burraly court,malladup,new farm,2439,act,19030121,4310453,71
eliza,sharon,120,brinsmead street,chactor,greenacre,3214,nsw,19950112,2497676,72
fraser,marlow,8,evelyn owen crescent,yarandoo wing,ermington,3000,nsw,19731008,2195286,73
,durr,11,cochrane crescent,spyla w farm,south perth,2795,wa,19810628,6794161,74
liam,fitzpatrck,55,schonell circuit,,coffs harbour,6285,nsw,19321022,5663386,75
brydon,webb,11,walker crescent,bugoren,charlestown,6258,nsw,19190528,4191569,76
chloe,reitler,14,daley crescent,halfway hill,ballinga,6146,qld,19171028,7162356,77
bordin,brody,45,canberra centre (next to medicare),corombie,figtree,2485,qld,19510904,8728984,78
jacynta,hoffman,4,marrakai street,tantallon,munruben,2042,nsw,19320417,4705328,79
olivia,,65,hobart place,sec 791,lalor park,2090,vic,19200321,2042439,80
mikayla,caruana,37,torrens street,boronia,dianella,2761,qld,19590901,6041595,81
justin,clarke,12,ahmatt street,moline village,rowville,6105,vic,19990220,6779471,82
,jervis,19,rickard place,evergreen,east gresford,4060,qld,19330212,1333372,83
catherine,couzens,41,balamara street,landen,frankston,2099,wa,19080905,8642862,84
tyron,dixon,45,grund place,zintara,munruben,2167,vic,19940207,8837588,85
rhys,jeffries,3,whistler place,pepin,thornlands,4216,nsw,19200821,3750223,86
jordan,lavis,12,ranken place,rosebery hill,piggabeen,0870,nsw,19640314,4307152,87
,collinson,4,boddington crescent,,illabo,2261,nsw,19840807,2427882,88
kyle,brain,256,coghill close,bay city plaza,blacktown,5253,act,19770714,8349921,89
angelina,reece,34,wray pylace,brookto nh ouse,toowoomba,7140,qld,19350613,7961545,90
francesco,finl ay,159,chippindall circuit,,burleigh waters,6236,nsw,19000713,7391179,91
georgia,kyriacou,21,carumbi place,kindberg,banyo,2340,vic,19280827,9890107,92
robert,ranson,9,crease place,,calliope,4053,vic,19600702,1133078,93
isabekle,spratt,16,bastow circuit,kurrajogn,shoalwater,2587,qld,,5074015,94
,sedecki,12,derrilin place,longstay caravn park,blackheath,4061,nsw,19801116,2990764,95
thomas,graue,4,dinnison gcircuit,vila 178,clovelly,4123,wa,19120911,5760570,96
matthew,green,28,banks srteet,old ffarm,mooroofbark,6108,nsw,19161230,6391014,97
darcie,fleet,13,fellows street,braeburn,somerton park,2284,vic,19950307,1563705,98
,morrison,35,minehan place,lumley,burn side,5167,tas,19620920,1541342,99
jarvis,ryan,82,buckman place,,inneston,2614,vic,19700922,6893056,100
cooper,culbertson,30,dow street,,sea lake,4020,qld,19951031,7943540,101
jord an,blake,2,moore street,fleurbaix,armida le,2477,vic,19790710,6981185,102
alissa,kilmatrin,37,reveley rescent,crown allot,wolumla,6210,nsw,19041118,7994055,103
connor,lutz,55,burkitt street,connoisseur quarterhorses,the basin,3166,vic,19970727,6308695,104
giuliana,hammill,83,cobby sjtteet,parish takowahl,potts point,3736,nsw,19941108,1238636,105
kyle,ryan,15,ind place,rocklea,port augusta,4305,nsw,19411102,2059726,106
madeleine,paterson,,brigalow street,,young,5045,nsw,19300302,2277800,107
caitkin,,,rymill place,airforce memor ial estate,mount gravatt,3146,vic,19980804,8342575,108
james,bradshw,,reader court,claytoh farm,milo park,2322,,19060730,4960757,109
jacob,varwano,,magrath crescent,bandrea,auburn,2210,vic,19411202,1499165,110
jordan,thaba,2,moore street,fleurbaix,armidale,2477,vic,19790710,6981185,111
varano,max,16,birrigaisquare,arabian stud ielkette park,dandenong north,6051,vic,19700713,7737012,112
ashley,white,25,jacka crescent,red gate,marmong point,7250,wa,19280224,5596702,113
mccarrhy,timothy,517,sidawawytreet,ballawina stud,northcliffe,4350,nsw,19530607,6601394,114
sar,coffey,3,mckinlay street,beechowrth,huonville,4558,vic,19150306,1706049,115
georgia,wilde,2,warra creek,freda gibsom circuit,,2154,sa,19550212,6569089,116
holly,siemers,8,strachan place,,beaudesert,2104,sa,19610319,4858108,117
caleb,dixon,1429,glenmore,lambel lvose,toronto,3634,tas,19860422,3569365,118
anneliese,clarke,16,langdon avenue,arawang,pakenham,3114,nsw,19000404,9135773,119
william,lipscombe,14,clift crescent,willandra,malvern east,3073,nsw,19260101,3537397,120
marianne,rees,6,nerli place,weeroona,mansfield,3644,sa,19770628,4235561,121
brinsmead,amelia,73,mackennal street,belgradezpark,wellington point,2046,vic,19810831,4182058,122
alexa-rose,campblel,17,neeld place,,narooma,2205,qld,19490410,1531199,123
timothy,mccarthy,517,sidaway street,ballawinna stud,northcliffe,4350,nsw,19530607,6601394,124
kyle,rundle,107,greenhood place,willowd trees,brigthon,5074,nsw,19460902,6532949,125
nicholas,donaldson,3,,forest glen resort,kogarah,3136,nrw,19211230,9407354,126
jemima,mcveigh,14,becker uplace,,armidale,3107,sa,19600320,8051824,127
callum,grossman,3,downard street,st vincents medical centre,wangaratta,4211,nsw,19770402,7743698,128
jade,p aine,21,rose scotet circuit,,taringa,4405,nsw,19191105,7184624,129
,wilde,47,the canberra hospital,darwiniaerrace,melville,3929,vic,19270428,6646723,130
lacey,clarke,54,starritt place,st fra ncis vlge,goomalibee,2600,wa,19700209,9397537,131
nicholas,campbell,87,poynton street,karma park,albion park,4655,qld,19041212,9882754,132
,coffey,8,buller crescent,sheep sttion,,4800,vic,19490409,3924737,133
jacynta,hoffman,4,marrakai srteet,tantallon,munruben,2153,nsw,,4705328,134
carlin,clarke,13,loch street,anzac house (cnr archer s street,kyabram,5040,vic,19891111,3670162,135
caleb,radic,17,moon place,cooralook,south perth,4305,nsw,19471021,6519229,136
nicholas,prideaux,9,hicks street,loccn 7229,bondi junction,5011,sa,19420429,1107619,137
mikayla,egan,109,heidelberg street,peppermint springs bendoc,mermaid waters,3875,,19731003,8652616,138
isabella,fitzptarick,10,tompsitt court,sanlyn,corio,6340,nsw,19771224,5262341,139
lily,huxley,45,currie crescent,waribalda,beverly hills,2073,qld,19510420,4379936,140
hananh,isola,26,barlow steet,aptmnt 240,clayton,4350,act,19320106,9013800,141
emma,gildea,2,mccawley street,nr cnr school art,malvern,6722,qld,19440429,8069828,142
reeve,mileq,2,renwick lwtreet,yarra bee,barwon heads,2342,nsw,19810406,1067923,143
sophie,lovelock,26,durraw een,chant street,williamstown,2650,vic,19371233,3072763,144
jacob,green,2,jerome place,kalke,kings cross,6050,act,19770519,4058972,145
nicholas,ryan,59,windeyer street,mafeking,belmont,4031,sa,19421110,8430399,146
mccarthy,kydan,67,clemengerxstreet,the points holsteins,fairlawn,6452,nsw,19729518,6527653,147
amelia,kimmonth,25,grace place,welikrak,barwon heads,2012,vic,,5751890,148
adam,crouch,930,crozier circuit,willow side jersey stud,cressy,3777,nsw,19011112,3380075,149
darcie,turtur,10,blacket street,eureka,beverly hills,2263,nsw,19570422,2025650,150
hugo,alderson,440,mccombie street,rosedale,malvern east,5023,nsw,19150416,5572942,151
kyle,glass,87,wyselaskie circuit,apt 710,wyong,3390,nsw,19241221,6908529,152
isabella,walpole,31,donnison place,gairnshiel rsd 225,dapto,2390,nsw,19881222,6386893,153
william,green,68,snowden place,heatherdale,burringbar,2750,vic,19150804,9080722,154
,green,30,wallace h eights,learmonth drive,boundary bend,2747,qld,19310903,9262880,155
tiahana,gaskin,12,crispcircuit,community hospt lmedcl centre,kurri kurri,2624,vic,19190716,4264536,156
chloe,whetstone,59,chuculba crescent,telooma,hamilton,3000,vic,19910803,1173489,157
chloe,kyriacou,12,mulga street,inglewood,mitcham,4031,nsw,19480827,3985717,158
thomas,shepherd,4,dinnison circuit,vila 178,clovelly,4123,wa,19120911,6706820,159
,hoffman,1,brooker street,,lockles,2070,wa,19760226,6891487,160
sarah,bradshaw,4,de littlezcircuit,mermaid plaza dentalyrcentre (cnr gold co,canley vale,3065,nsq,19090923,1686730,161
alexa-rose,campbell,17,neeld place,milton,narooma,2205,qld,19490410,1531199,162
joshua,dolan,98,colborne place,warowie,lindfield,3568,nsw,19521116,9500871,163
hannah,green,65,jacka crescent,rmbe 770,sunshine beach,2086,nsw,19350612,4219398,164
mikayla,caruana,37,torrens street,bor onia,dianelka,2716,qld,19590901,6041595,165
india,negrean,1,barringer street,sherwood,parkinson,3168,nsw,19860923,2097928,166
daniel,morrison,25,bellchambers crescent,ascot park,point samson,4514,vic,19620316,8699433,167
benjamin,kirchener,12,stuart street,wurrami,theodore,2620,wa,19751110,1766048,168
joel,bordin,45,canberra centre (next to medicare),corombie,figtree,2485,qld,19510904,8728984,169
jayde,grosser,41,gundaroo road,,baringhup,3173,vic,19281101,6423689,170
sienna,georege,22,hoad place,kondalilla,burwood east,3860,nsw,19661026,9123905,171
joshua,garthwaite,42,mcclintock street,hallsville,avoca,3175,nsw,19050703,5226643,172
bne,browen,42,tillyard drive,willow wood,mentone,2231,vic,19241201,5216720,173
caitlin,,,rymill place,airforce memorial estate,mount gravatt,3146,vic,19980804,8342575,174
jackson,cmielewski,76,angliss place,brookvale,tweed heads south,3082,vic,19141022,7997511,175
rhys,jeffries,3,whistlerplace,pepin,thornlands,4216,nsw,19200821,3750223,176
tia,gols,101,boron ia drive,the cabin,sunnybank,3020,sa,19961121,7459384,177
michael,nguyen,,roseworthy crescent,underbank,colac,2198,qld,19011004,5908395,178
samuel,campbell,32,mosman place,,north beach,2617,nsw,19430607,5538479,179
laura,stubbs,68,eyre street,westwood homestead,,4871,qld,19621222,1310830,180
andrew,bradshaw,238,berne crescent,civic centre,greensborough,3095,sa,19941118,6385462,181
barnaby,shereston,1,margany street,flt 2a,keysborough,5045,wa,19961009,8585130,182
mitchell,mcconnel,5,templeton street,gle n ayre,camdn,2500,vic,19370615,3413425,183
lexie,cochrane,,paul coe crescent,ararat retirement village,auburn,2904,tas,19320809,4618363,184
isabella,ayrse,1075,arthur circle,grevilal est,glewnood,5121,qld,19531230,9208787,185
riley,siviur,15,tubb plqace,roxor,,3186,nsw,19080709,4038966,186
lucas,rawldings,11,paul coe drescent,,wanniassa,6122,vic,19141102,5141107,187
peta,coffey,8,buller crescent,sheep station,,4800,vic,19490409,3924737,188
alice,bellchambers,267,swanton wtreet,tallow-bwood,blacjtwon,3136,vic,19381230,8676818,189
darcy,jolly,7,antill street,agar abi,marsfield,4173,nsw,,7208848,190
ethan,scrbak,2489,de burgh street,glendaurel,como,3156,vic,19100409,8766958,191
kyleh,reuter,185,padbury street,burnside,ballrat,4703,nsw,19251011,6546519,192
jasmine,frahn,55,mckail crescent,keanlr,cooktown,3020,nsw,19040608,4013078,193
darcy,hochunli,22,lawrence close,,sefton park,2380,tas,19370607,8750602,194
mcphail,benjamin,33,straliaplace,martins wele station,umina beach,4814,qld,19540903,6563107,195
zachary,lodge,28,monaro highway,akenfield,sandy bay,4109,qld,19790613,3535105,196
nicholas,donaldson,3,,forest glen resort,kogarah,3136,nsw,19211230,9407354,197
jarrod,polak,10,parsons street,nareen gardens hostel,elsternwick,6317,nsw,19330222,4360449,198
zachary,lodge,28,monaro highway,akenfield,malvern east,2200,qld,19790613,2678628,199
thomas,wijedasa,152,powers place,carney's arcade,bowen hills,6021,tas,19820415,8192413,200
,kolodina,66,darmody lstreet,split solitary caravn park,wheeo,2317,vic,19610520,1601763,201
clodqgh,green,68,snowden place,heatherdale,burringbar,2750,vic,19150804,9080722,202
annabelle,clapham,312,martley circuit,aptmnt42,worrigee,4160,nsw,19960703,9692668,203
thomas,papanikolopoulos,14,doolanz court,frank jeffry hostel,ulladulla,4356,vic,19241204,7849076,204
bryce,fabel,3,nangor street,sherwood,beaumaris,2484,qld,19540519,5014276,205
lilian,griffen,155,lambert street,broadbridge manor,kilsyth,4829,vic,19381213,7355934,206
edward,ryan,35,sidaway street,jemalong retrmnt vlge,avalon,3184,nsw,19230301,4392917,207
kyle,nobel,207,,rowethorpe,ellaswood,3148,nsw,,8121172,208
ash,worsley,3,russell drysdale crescent,gull cottage,greensborough,4032,nsw,19960512,5164697,209
meaney,shantal,15,cockcroftavenue,sebaank,pakenham,2114,vic,19810717,9937720,210
eliza,sharon,120,brinsmeda street,chacor,greenapre,3214,nsw,19950112,2497676,211
daniel,marcic,11,barnes place,country club,wynnum west,5108,wa,19310308,8550692,212
isabelle,lowe,27,kangairlla,grainger circuit,point turton,2450,vic,19980310,7007836,213
bailey,blake,31,foxall street,nioka,miling,7322,nsw,,4346541,214
chloe,mayer,160,tuthill place,poldoe park,illawarra,2214,wa,19800326,3867233,215
andrew,bradshaw,238,berne creswcent,,greensborough,3059,sa,19941118,6385642,216
jarrod,polak,10,parsons street,nareen gardens hostel,elsternwikc,6317,sa,19330222,4360449,217
lexie,cochrane,,ararat retirement village,paul coe crescent,auburrn,2940,tas,19320809,4618363,218
finley,haeusler,27,noarlunga crescent,spring ridge,nambour,3180,vic,19660711,3025217,219
joshus,maclennan,41,karsjl,roper nplace,eight mile plains,2795,qld,19700525,8982317,220
kyle,ryany,14,ind place,rocklea,port augusta,4350,nsw,19411102,2059726,221
anthony,berry,11,a'beckett street,hd curramulka,minchinbury,3930,sa,19370703,8728762,222
adriana,rudd,7,dickson chiropractic dickson chambers,mcivor house,kilsyth,3910,qld,19501217,2016313,223
thomas,morcom,16,alexandria street,trapalanda,vermont south,3714,vic,19800706,4569567,224
phillip,ellem,41,outtrim avenue,ainslie house,avalon,3083,qld,19490902,3187616,225
stephanie,rumbal,26,sollya place,erina ardns,galston,6285,nsw,19150614,5779913,226
jack,spawton,43,jevons place,locn 1025,greenacre,6014,qld,19080317,3656816,227
jayde,grosser,55,gundaroo road,,baringhup,3173,vic,19281101,6423689,228
,kilby,,collicott circuit,lassaan,success,2795,,19040302,2952029,229
carlin,clarwke,13,loch street,anzac house (cnr archer s street,kyabfam,5040,vic,19531013,3670162,230
talia,ho,117,illingworth street,liselivan,wynnum west,3201,vic,19740208,2143356,231
barnaby,shereston,1,margany street,,keysborough,5045,wa,19961009,8585130,232
karli,alderson,144,nulsen circuit,iowanna,tingalpa,3139,nsw,19510826,9541034,233
cliare,priebe,39,stacy street,st francis vlge,clarence park,2145,vic,19900203,5569305,234
beal,jared,9,palmer street,hollybiooke,southern river,4811,nsw,19400526,7240930,235
brooklyn,manson,27,clive steele avenue,port fairy road,mount low,3450,vic,19710727,4493900,236
sarah,schepers,118,tattersall crescent,coaake,kyogle,2212,nsw,19260705,3474290,237
jack,burford,26,noongale court,kiandra,highgate,2614,vic,19101115,3392254,238
emiily,kowald,18,daglish street,oakd ale,avalon,3030,vic,19250313,1590627,239
zachary,pringle,16,evergood close,emerywood,satur,2160,nsw,19410809,2770074,240
isaac,schepoirs,118,tattersall crescent,coaake,kyogle,2212,nsw,19861116,3474290,241
emiily,wynne,51,bungonia street,glenbrae,burringbar,2210,sa,19760814,2855156,242
brooke,pennell,32,jervois street,wheatlea,mooraobbin,4821,nsw,19641212,7585474,243
isaac,quilliam,11,namatjira drive,delaware,geelong west,3072,nsw,19930926,1556150,244
kob,korbut,1,kennewell xplace,heights estate,blacktown,4390,wa,19090519,9712042,245
troy,reid,1,allan street,townview,page,2774,qld,19250727,3580821,246
guthridge,thomas,6,brunswick circuit,tintagel,avondale heights,2073,vic,19080625,4255165,247
erin,reid,2,temperley street,,venusbay,2705,nsw,,7311880,248
nicholas,matthews,19,james smithi circuit,old wefeoona,dulwic hhill,4170,sa,19570116,9908807,249
riley,ho,53,discovery street,rockview,orange,2011,wa,19000702,5033334,250
fiona,worsley,59,gingana street,thorndale,dysart,2193,vic,19960902,9804147,251
india,negrean,1,barringer street,sherwood,parkinson,3168,wa,19860923,2097928,252
,webb,11,walker crrscent,bugoren,charlstown,6258,nsw,19190528,4191569,253
oakleigh,fitzpatrick,16,archdall street,clear creek,north amr,2122,gas,19580922,6731902,254
cambell,hursey,3,spinifex street,sweet waters,toowoomba,3980,sa,19800422,7118146,255
kirrah,mccarthy,79,laseron place,rowethorpe,winmalee,2073,wa,19400306,2583973,256
pace,blake,12,goble street,ashleigh house bergen court,haddon,3056,vic,19751212,1356319,257
anthony,berry,11,a'beckett street,,minchinbury,3930,sa,19370703,8728762,258
mitchell,scrbak,950,holyman street,berkeley vlge,safety bay,4300,qld,19060811,3592109,259
claudia,eglin ton,50,glenelg street,lans downe,roleystone,4556,vic,19811022,6033620,260
kyah,ngai,56,shoalhaven avenue,the nount,culburra,3083,vic,19630406,9351600,261
callum,fauser,4,sandover circuit,eagleview,clare,3021,nsw,19970227,2873125,262
,harrington,103,adair street,the lakes retirement village,beaumont,4556,vic,19610510,7008577,263
,cogzell,1,armstrong crescent,cromdale,payneham,5502,vic,19440905,9162672,264
nicholas,toso,,carnegie crescent,moonah,mullumbimby,5109,wa,19710120,1111504,265
ashley,heazdon,17,sheehy street,hawkins masonic vlge,warrandyte,3073,vic,19880814,7871445,266
alexandra,hearn,7,booth crescent,unt 5,leichhardt,5037,,19300818,3179241,267
madeline,najm,13,boronia drive,poplar bend,evans head,4216,nsw,19420813,8918633,268
hattie,white,20,ebden street,arkbaa,lalor,4750,nsw,19250301,2133927,269
jade,matthews,49,ballonnest street,combog olong,young,6065,sa,19581231,5023792,270
charlie,,4,terewah circuit,legacy vlge,crib point,6167,nsw,19140715,1597495,271
charlolte,satterley,41,counsel street,hilltop hostel rowethorpe,berwic,4556,nsw,19151209,4658473,272
jake,berry,99,rivett street,,kingstgorpe,2032,vic,,7190150,273
paine,melanie,4,andrewsstreet,rosetta village,salisbury east,3095,qld,19521118,2053758,274
brandon,white,11,winser crescent,,,5159,qld,19911102,9695343,275
holly,northway,3,collingridge street,brentwoo d vlge,sunshine,2324,vic,19850215,5614773,276
ruby,riding,7,middletoz cwircuit,,ceduna,4214,vic,19650615,9233472,277
jessica,noble,42,boolimba crescent,lashbrooke,cranbourne,2219,vic,19940815,7984432,278
nicholas,,289,britten-jones drive,jabaru court,paddington,2000,vic,19970422,5062738,279
mitchell,mcconnel,5,templeton street,glen ayre,camden,2500,vic,19370615,3413425,280
hannah,spong,16,ellis place,wallaby,albany creek,3818,tas,19630205,8442523,281
bianca,demetriou,4,jennings street,ahwahnee,dapto,3216,nsw,19261103,8066343,282
jack,mcphie,155,shumack street,millard centre,clayton,4504,nsw,19720208,9497108,283
sophie,conboy,24,learmonth drive,robe community health centre,st albans,3136,,19360910,6636386,284
broke,durbridge,63,boult place,banamba,bacchusm arsh,6147,sa,19951015,6266446,285
jayde,van keulen,4,macgregor street,glend ower,cremorne,3566,vic,19150821,3018823,286
david,stubbs,8,wehl place,minora,sunnybank,2782,qld,19490218,1825686,287
emma,speight,8,investigator street,willarfo,tweed headsysouth,2770,vic,19630623,5067534,288
cooper,richmond,5,pridha mstreet,star court arcade,wangaratta,5074,sa,19020301,1483265,289
kayla,harrington,38,maltby circuit,coaling,coolaroo,3465,nsw,19150612,9004242,290
thomas,wynne,920,leahy close,belmore rover,mitcham,3018,ua,19491220,9787222,291
natasha,crossm an,,,mt gravat tresidence,glenthompson,4865,nsw,19140130,9295668,292
robert,,9,crease place,,calliope,4053,vic,19600702,1133078,293
,durr,11,cochrane crescent,the rookery,south perth,2795,wa,19300521,6794611,294
benjamin,campbell,19,goodenia street,busbey's flat,safety beach,2390,qld,19330926,4394755,295
tia,gold,101,boronia drive,the cabin,sunnybank,3020,sa,19961121,7459384,296
hannah,spong,32,elliswplace,wallaby,albany creek,3818,tas,19630205,8442523,297
edward,hudd,6,namadgi circuit,,forest hill,2456,vic,19740727,3658978,298
joshua,bishojp,53,d'hagecurt,dovers flat,salt ash,3629,vic,19590302,8180464,299
sophie,procter,23,paul coe crescent,the lakea village,port lincoln,4109,sa,19500121,4063636,300
alexandra,mabokmarial,7,walker crescent,border park,erindale,2810,vic,19361207,1063069,301
david,stubbs,8,wehl place,minroa,sunnybank,2782,qld,19490218,1825686,302
joshua,porotschnig,9,shepherd street,rockview,limeburners creek,3121,nsw,19130422,7255490,303
timothy,coffey,23,bacchus circuit,frankston caravan park,werrington,2450,vic,19600222,3125388,304
emiily,morrison,314,cowper tsreet,belmore river,narrandera,5600,vic,19460111,4185791,305
benjamin,cannekl,17,charleston street,oak glen,kununuodra,2090,nsw,19650504,7825348,306
hayden,jolly,7,heard street,wonderusn,,5034,nsw,19950410,3682559,307
caleb,radic,17,moon place,coor alook,south perth,4305,nsw,19471021,6519249,308
isobel,van wijk,18,federal highway,manresa,st albans,5108,vic,19970922,9247870,309
dabiel,burleigh,22,milford street,brandywine stud,maroota south,3136,sa,19010517,4171356,310
charlie,headon,17,sheehy street,hawkins masonic vlge,warrandyte,3073,vic,19880814,7871445,311
charlie,clissold,41,allchin circuit,kinross,richardson,2196,vic,19270812,5711952,312
alicia,bloomfield,2,hastings court,,eleeana,2430,vic,19980422,4531319,313
mikayla,giannaris,80,seabreeze acravan park,gollan street,abbotsford,2516,wa,19560825,4797460,314
lachlan,basri,11,lindrum crescent,the shanty,carlsruhe,2130,qld,19261223,2379460,315
giuliana,hammill,31,cobby street,parish talowahl,potts point,3763,nsw,19941108,1238636,316
aidan,berry,4,lempriere crescent,,,3228,nsw,19280621,5213963,317
william,headon,33,madigan street,wearmouth,emerald,2577,nsw,19540307,1158377,318
molly,sushames,44,maclachlan street,,south grafton,3191,qld,19910608,4688332,319
brooklyn,manson,27,clive steele avenue,port fairy road,yagoona,3450,vic,19710727,4493900,320
riley,frew,33,clive steele avenue,arcadia,vermont,7250,vic,19210304,3817732,321
abbey,hoffman,17,brooker street,de boerderij,lockleys,2070,wa,19760226,6891487,322
joel,mcgilc hrist,76,borrowdale street,rockles,bund akerg,4871,wa,19141214,8721264,323
jessica,ballantyne,8,medworth crescent,rowethorpe,penrith,4213,nsw,19931103,1155058,324
